city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Az Zahran,Saudi Arabia,Asia,50,26.25,4,BWh,"Arid, desert, hot",97446,Medium (50k-500k),15.926223
Al-Qatif,Saudi Arabia,Asia,50,26.619719,4,BWh,"Arid, desert, hot",368892,Medium (50k-500k),15.926223
Behbehan,Iran,Asia,50,30.422535,6,BSh,"Arid, steppe, hot",85707,Medium (50k-500k),10.601864
Behbehan,Iran,Asia,50,30.62827225,6,BSh,"Arid, steppe, hot",85707,Medium (50k-500k),10.601864
Behbehan,Iran,Asia,50,30.75,6,BSh,"Arid, steppe, hot",85707,Medium (50k-500k),10.601864
Arak,Iran,Asia,50,34.225353,6,BSh,"Arid, steppe, hot",503647,Large (500k-1M),11.575076
Saveh,Iran,Asia,50,35.25,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",175533,Medium (50k-500k),17.981482
Rasht,Iran,Asia,50,37.22513089,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",594590,Large (500k-1M),4.160339
Baku,Azerbaijan,Asia,50,40.56338,6,BSh,"Arid, steppe, hot",2122300,Very Large (>1M),14.129029
Novokuybishevsk,Russia,Europe,50,53.239437,25,Dfa,"Cold, no dry season, hot summer",1137000,Very Large (>1M),-6.9520125
Novokuybishevsk,Russia,Europe,50,53.2460733,25,Dfa,"Cold, no dry season, hot summer",1137000,Very Large (>1M),-6.9520125
Novokuybishevsk,Russia,Europe,50,53.25,25,Dfa,"Cold, no dry season, hot summer",1137000,Very Large (>1M),-6.9520125
Slobodskoy,Russia,Europe,50,58.90052356,25,Dfa,"Cold, no dry season, hot summer",48962,Small (<50k),-3.746885
Qom,Iran,Asia,50.625,34.5072403,4,BWh,"Arid, desert, hot",973000,Large (500k-1M),3.5731034
Chistopol,Russia,Europe,50.625,55.33011226,25,Dfa,"Cold, no dry season, hot summer",62200,Medium (50k-500k),-8.034409
